Listing_Address,Zip_code,Listing_Status,Listing_Type,Price,Sold_Date,Num_Bedrooms,Num_Bathrooms,Sqft,Parking,Hoa_Fees,Year_Built
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1849 W North Ave,,Sold,Apartment,500000,09/09/19,2,2.,,N,296,2000
1427 N Leavitt St #2,,Sold,Apartment,526500,11/13/18,2,2,,Y,150,2017
1829 W Evergreen Ave,,Sold,Single Family,1555000,08/14/20,4,4,4500,Y,N/A,1882
None,,,Multi Family,N/A,",130,607",6,5,1500,N,767,1885
2257 W Hirsch St #59,,Sold,Multi Family,900000,06/07/19,8,4,No Data,N,N/A,1880
2051 W Evergreen Ave #1,,Sold,Single Family,1975000,12/12/19,8,3,,Y,N/A,1896
2031 W Pierce Ave APT 2A,,Sold,Condo,505000,08/05/19,,--,,N,250,2000
1927 W Potomac Ave #2E,,Sold,Condo,443000,12/15/19,2,2,,Y,147,2008
1515 N Wood St,,Sold,Single Family,700000,10/16/18,3,3,2519,Y,N/A,1992
2136 W Evergreen Ave #3A,,Sold,Condo,382000,07/06/20,2,2,No Data,Y,305,1995
1727 W Crystal St,,Sold,Multi Family,680000,03/22/19,4,4,No Data,Y,N/A,Data
1305 N Damen Ave,,Sold,Single Family,950000,11/05/19,4,4,2394,Y,N/A,1991
1349 N Western Ave APT 3S,,Sold,Condo,295000,01/24/19,2,2,No Data,Y,288,2007
1328 N Wicker Park Ave,,Sold,Single Family,1390000,06/06/19,4,4,3300,Y,N/A,Data
1535 N Wicker Park Ave APT GE,,Sold,Condo,382500,10/24/18,3,2,,Y,190,1996
1215 N Honore St APT 2,,Sold,Condo,347500,06/08/18,2,1,1200,N,82,1996
1945 W Evergreen Ave,,Sold,Condo,536250,10/11/19,3,2,,N,N/A,1886
1452 N Leavitt St,,Sold,Single Family,636000,03/27/19,6,2,,Y,N/A,1890
1531 N Milwaukee Ave APT 4,,Sold,Apartment,465000,09/15/19,2,2,,Y,169,2002
1616 W Julian St,,Sold,Single Family,835000,06/30/20,3,3,1207,Y,N/A,1885
1849 W North Ave #3,,Sold,Condo,500000,09/09/19,3,3,1745,Y,346,2000
