Listing_Address,Zip_code,Listing_Status,Listing_Type,Price,Sold_Date,Num_Bedrooms,Num_Bathrooms,Sqft,Parking,Hoa_Fees,Year_Built
2013 W Crystal St APT 3R,,Sold,Condo,276000,06/11/18,,--,,N,N/A,1904
2029 W Pierce Ave APT 3E,,Sold,Condo,475000,04/22/20,2,2,No Data,Y,241,1927
1259 N Wood St APT 203,,Sold,Condo,391000,01/10/19,2,1.,,N,324,1997
2025 W Crystal St #1,,Sold,Condo,545000,03/05/20,3,2,No Data,N,225,2018
2019 W Pierce Ave #1,,Sold,Condo,450000,05/31/18,,--,,N,150,2000
2013 W Crystal St APT 3R,,Sold,Condo,276000,05/31/18,1,1,No Data,Y,177,2018
1850 W Division St #P15,,Sold,Single Family,615000,07/11/19,,--,,N,30,2001
1555 N Wood St UNIT 303,,Sold,Condo,587000,07/19/18,3,2,1750,N,352,2004
None,,,Condo,N/A,",007,170",,--,,N,N/A,Data
1304 N Wood St UNIT 3,,Sold,Condo,805000,06/30/20,3,2,2200,Y,254,2007
1959 W Schiller St,,Sold,Single Family,2237500,08/30/20,3,3,3400,Y,N/A,1885
1725 W North Ave SUITE 208,,Sold,Multiple Occupancy,393500,02/21/19,2,2,,Y,N/A,1929
2143 W Evergreen Ave #301,,Sold,Condo,330000,10/03/19,3,2,,N,N/A,1948
1259 N Wood St APT 306,,Sold,Condo,400000,06/04/20,2,2,1100,Y,327,1997
1725 W North Ave SUITE 208,,Sold,Condo,393500,02/21/19,,--,,N,N/A,1919
1531 N Milwaukee Ave APT 2,,Sold,Condo,450000,10/30/18,2,2,1500,Y,169,2005
1233 N Paulina St #2,,Sold,Condo,851250,04/16/20,3,3,No Data,Y,200,2019
1928 W Potomac Ave #1,,Sold,Apartment,795000,03/14/18,,--,,N,355,Data
2136 W Evergreen Ave #3B,,Sold,Single Family,332500,09/06/18,2,2,1100,N,N/A,Data
1849 W North Ave #2,,Sold,Condo,415000,03/14/19,2,2,No Data,Y,253,2001
2122 W Potomac Ave #1,,Sold,Multiple Occupancy,350000,08/02/18,2,2,,N,N/A,1888
1454 N Bell Ave,,Sold,Single Family,809000,03/21/19,4,4,2600,Y,N/A,1891
1243 N Wolcott Ave APT 5,,Sold,Condo,655000,03/10/19,,--,,N,266,1997
None,,,Multiple Occupancy,N/A,"$745,400",4,3,No Data,Y,N/A,1875
1354 N Wolcott Ave #A,,Sold,Townhouse,750000,02/04/20,3,3,2850,Y,N/A,1994
2144 W Potomac Ave,,Sold,Multiple Occupancy,2000000,01/21/19,,--,,N,N/A,1898
1613 W Beach Ave #2E,,Sold,Condo,859000,03/30/20,3,4,No Data,Y,200,2019
1517 N Paulina St APT 1F,,Sold,Condo,350000,11/05/18,3,2,,N,246,2016
2036 W Le Moyne St APT A,,Sold,Townhouse,505500,10/23/18,2,2,1708,Y,1035,1999
1541 N Wood St #1,,Sold,Condo,764000,07/13/20,3,3,1900,Y,202,1912
1725 W North Ave SUITE 407,,Sold,Condo,290000,08/25/20,1,1,1000,Y,303,Data
1909 W Schiller St #1E,,Sold,Apartment,950000,07/01/20,3,2.,,Y,298,2019
2138 W Potomac Ave #1,,Sold,Condo,496000,11/07/19,4,3,2700,Y,311,1996
2025 W Crystal St #2,,Sold,Condo,630000,02/18/20,3,3,1450,Y,175,2018
2125 W Pierce Ave APT 1B,,Sold,Condo,292500,04/07/19,1,1,900,N,219,1924
1346 N Claremont Ave #3N,,Sold,Condo,584000,11/13/19,2,2,No Data,N,159,2019
1250 N Paulina St APT 4W,,Sold,Condo,620000,08/27/20,,--,,N,384,2003
1434 N Wood St #1N,,Sold,Apartment,513000,05/13/20,3,3,,Y,238,2006
1312 N Leavitt St APT 3,,Sold,Condo,480000,08/22/18,2,--,,Y,250,1995
1328 N Bell Ave,,Sold,Single Family,1100000,08/10/20,4,4,1716,Y,N/A,2001
1217 N Honore St UNIT 1,,Sold,Condo,327000,05/30/18,2,1,1150,Y,92,1996
2031 W Pierce Ave APT 2A,,Sold,Condo,505000,07/31/19,2,2,1300,Y,250,2002
1236 N Damen Ave #6F,,Sold,Townhouse,675000,09/25/18,3,4,2100,Y,N/A,2002
1850 W Division St APT 4C,,Sold,Single Family,700000,02/05/20,,--,,N,30,2001
2134 W Crystal St,,Sold,Condo,450000,02/19/19,3,3,2400,Y,424,1998
1725 W Le Moyne St,,Sold,Condo,881500,06/07/20,3,3,2100,Y,250,2010
1410 N Hoyne Ave #3A,,Sold,Condo,430000,02/13/19,2,2,1270,Y,220,1996
1550 N Bell Ave APT 2A,,Sold,Condo,495000,11/14/19,2,2,1800,Y,296,2004
1613 W Beach Ave,,Sold,Vacant Land,860000,08/05/20,4,N/A,N/A,N,N/A,Data
1425 N Leavitt St #3,,Sold,Condo,600000,01/26/20,2,2,,Y,263,2014
2054 W Division St,,Sold,Multiple Occupancy,1425000,03/17/19,1,8,1700,Y,N/A,1993
1622 W Julian St #1,,Sold,Condo,662500,06/18/20,3,3,2050,Y,227,2011
1238 N Hoyne Ave #2,,Sold,Condo,677500,06/04/18,3,2,1850,N,250,2014
1510 N Elk Grove Ave UNIT 1,,Sold,Multiple Occupancy,1700,06/04/18,3,2,,N,N/A,Data
1369 N Dean St,,Sold,Single Family,1225000,08/01/18,6,3,,N,1272,1880
1259 N Wood St APT 202,,Sold,Condo,420000,12/05/18,2,2,No Data,Y,281,Data
1705 W Le Moyne St APT D,,Sold,Townhouse,535000,04/29/19,2,3,1817,N,N/A,1993
None,,,Townhouse,N/A,"$606,800",2,2.,,N,N/A,1995
1720 W Le Moyne St #201,,Sold,Condo,675000,01/16/19,3,3,,Y,200,2005
1217 N Paulina St #3,,Sold,Condo,1109000,02/26/20,3,3,No Data,Y,200,2019
1351 N Leavitt St #3,,Sold,Condo,550000,04/07/19,3,2,2250,Y,228,1998
1300 N Claremont Ave #2E,,Sold,Condo,676000,08/13/20,3,2,1950,Y,158,2020
1313 N Oakley Blvd #1,,Sold,Condo,442000,08/18/19,2,2,1800,Y,246,1892
2245 W North Ave APT 303,,Sold,Condo,480000,06/19/19,2,2,1200,N,231,2004
1256 N Wood St APT 2,,Sold,Apartment,3575,02/28/19,3,2,,Y,N/A,2004
1904 W Division St #3S,,Sold,Condo,755000,09/05/19,,--,,N,384,Data
2017 W Evergreen Ave APT 302,,Sold,Condo,475000,07/26/18,2,2,No Data,Y,251,2002
1630 W Le Moyne St #2,,Sold,Condo,750000,07/31/19,3,3,No Data,N,226,2014
1947 W Evergreen Ave APT C,,Sold,Condo,499000,08/27/20,2,2,1200,Y,193,1998
1920 W Potomac Ave,,Sold,Single Family,1020000,07/21/20,3,3,2865,Y,N/A,1989
1349 N Leavitt St #1A,,Sold,Condo,510000,07/11/19,,--,,N,N/A,Data
2136 W Schiller St APT 1R,,Sold,Condo,410000,07/16/19,2,2,No Data,Y,163,1998
1315 N Western Ave #4,,Sold,Condo,375000,05/20/20,2,2,No Data,Y,235,2015
2036 W Le Moyne St APT C,,Sold,Townhouse,610000,08/02/20,3,3,2150,Y,676,2002
1640 W Julian St,,Sold,Single Family,4350,01/27/19,3,2.,,Y,N/A,1895
1302 N Hoyne Ave,,Sold,Single Family,2000000,07/05/18,6,5,No Data,N,N/A,1883
2032 W Pierce Ave APT 4E,,Sold,Apartment,3500,06/26/18,3,2,,N,N/A,1998
1372 N Dean St #2,,Sold,Condo,685000,08/14/19,3,3,2182,Y,125,2003
2127 W Pierce Ave APT 3A,,Sold,Condo,330000,12/01/19,2,1,1100,N,328,Data
1925 W Schiller St,,Sold,Single Family,1875000,01/10/19,5,6,4860,N,N/A,1913
2040 W Le Moyne St APT E,,Sold,Townhouse,635000,06/05/19,3,2.,,Y,N/A,2001
None,,,Multiple Occupancy,N/A,"$715,878",4,2,No Data,N,N/A,1883
2150 W Division St #3,,Sold,Condo,485000,08/13/18,3,2,,N,N/A,2010
1643 W Pierce Ave #1,,Sold,Condo,545000,06/24/19,3,3,No Data,N,165,2000
None,,,Condo,N/A,"$668,099",,--,,N,N/A,Data
1742 W Crystal St #1,,Sold,Condo,590000,08/05/19,,--,,N,N/A,1876
"2039 W Evergreen Ave, Arlington Heights, IL ",,Sold,Multiple Occupancy,915000,08/19/19,5,3,442,Y,N/A,1891
1353 N Bell Ave,,Sold,Multiple Occupancy,780000,06/26/19,5,3,No Data,N,N/A,1890
1527 N Bell Ave,,Sold,Multiple Occupancy,1075000,07/09/19,9,5,No Data,N,N/A,Data
1725 W North Ave SUITE 209,,Sold,Condo,439000,02/20/20,,--,,N,N/A,1919
2239 W North Ave APT 4B,,Sold,Condo,530000,05/13/19,2,2,,Y,230,2004
2136 W Schiller St APT 1R,,Sold,Condo,410000,07/16/19,,--,,N,163,1996
1640 W Beach Ave APT 2W,,Sold,Condo,635000,09/26/18,3,2.,2000,Y,195,2002
1638 W Division St,,Sold,Multiple Occupancy,645000,06/15/20,6,3,No Data,Y,N/A,Data
1734 W Julian St,,Sold,Single Family,808000,04/30/20,4,4,No Data,Y,N/A,1895
2026 W Pierce Ave #8,,Sold,Condo,689000,08/02/20,3,2,1700,Y,289,2001
1712 W Beach Ave #2,,Sold,Condo,405000,11/19/18,2,2,1350,Y,200,2004
2041 W Potomac Ave #2,,Sold,Condo,430000,07/26/18,2,2,1100,Y,193,1997
1530 N Paulina St APT G,,Sold,Condo,299000,06/04/18,2,1,No Data,N,211,1920
1410 N Hoyne Ave,,Sold,Condo,595000,04/21/20,2,3,1850,Y,299,1996
1824 W Ellen St #2,,Sold,Apartment,810000,11/22/18,2,2,,N,N/A,Data
1725 W North Ave SUITE 209,,Sold,Single Family,439000,02/20/20,,--,,N,39,1919
1400 N Milwaukee Ave APT 207,,Sold,Condo,247000,02/18/20,1,1,675,N,298,1902
1219 N Paulina St #3S,,Sold,Condo,755000,12/30/18,,--,,N,304,2004
1725 North 404 #404,,Sold,Condo,395000,10/01/18,2,2,No Data,N,N/A,Data
1270 N Marion Ct,,Sold,Single Family,N/A,05/02/19,,3.,,Y,N/A,2016
1300 N Claremont Ave #3E,,Sold,Condo,775000,08/20/20,3,2,No Data,Y,158,2020
2117 W Evergreen Ave APT 2E,,Sold,Condo,467000,06/27/18,2,2,,N,290,1998
2127 W Pierce Ave APT 2A,,Sold,Condo,319000,04/30/19,2,1,1100,N,316,1924
1850 W Division St APT 4C,,Sold,Single Family,700000,02/05/20,,--,,N,30,2001
1412 N Hoyne Ave #3B,,Sold,Condo,510000,12/04/19,2,2,No Data,Y,204,1994
1212 N Hoyne Ave SUITE 102,,Sold,Condo,725000,03/05/20,,--,,N,N/A,2001
1955 W Evergreen Ave,,Sold,Single Family,2110000,05/27/19,3,6,,Y,N/A,1890
2136 W Division St APT 4,,Sold,Condo,547500,11/26/19,3,2,1850,Y,249,2004
1441 N Wicker Park Ave UNIT 2N,,Sold,Condo,417000,04/02/20,2,2,No Data,Y,230,2004
1547 N Honore St #1,,Sold,Condo,590000,03/15/20,3,3,2400,Y,200,2001
1725 W North Ave STE 309,,Sold,Condo,475000,09/27/18,2,2,,N,N/A,Data
1350 N Claremont Ave #3,,Sold,Condo,574900,07/07/19,2,2,No Data,N,187,2019
1515 N Claremont Ave #2,,Sold,Condo,425000,05/07/19,2,2,,N,150,2007
1419 N Paulina St #2,,Sold,Single Family,650000,12/12/19,3,3,3185,Y,N/A,1887
1533 N Western Ave SUITE 1,,Sold,Multiple Occupancy,361000,06/20/18,2,2,,Y,N/A,2003
2039 W Crystal St #1,,Sold,Condo,535000,05/30/18,3,3,1600,Y,146,1998
1751 W Julian St APT 2,,Sold,Townhouse,495000,07/15/19,2,2,1540,N,N/A,1993
2025 W Crystal St #3,,Sold,Condo,820000,07/31/19,3,3,No Data,N,275,2018
1517 N Paulina St APT 1F,,Sold,Apartment,350000,10/28/18,3,2,,N,308,2018
2008 W Potomac Ave APT B,,Sold,Townhouse,635000,05/12/20,3,3,1700,Y,1176,1995
2040 W Le Moyne St,,Sold,Townhouse,635000,06/24/19,3,2.,,Y,570,2002
1409 W Superior St #2R,,Sold,Condo,212500,07/29/19,1,1,750,N,N/A,Data
1222 N Wolcott Ave APT 2N,,Sold,Condo,475000,05/05/19,2,2,No Data,Y,225,1998
1547 N Honore St #2,,Sold,Condo,319000,05/19/20,,--,,N,N/A,1997
1401 N Oakley Blvd,,Sold,Multiple Occupancy,765000,11/15/18,8,5,No Data,N,N/A,1889
1340 N Leavitt St,,Sold,Single Family,1085000,02/06/20,3,4,4600,Y,N/A,1996
None,,,Apartment,N/A,"$548,674",3,2,,Y,N/A,1996
1920 W Crystal St APT 3,,Sold,Condo,545000,05/16/19,,--,,N,N/A,Data
1320 N Hoyne Ave,,Sold,Apartment,550000,06/28/18,2,1,,N,N/A,1886
1400 N Milwaukee Ave APT 203,,Sold,Condo,363000,07/15/18,2,2,No Data,Y,397,1886
1372 N Dean St #1,,Sold,Condo,685000,08/20/19,3,3,2120,Y,125,2003
"2353 W North Ave, --, IL ",,Sold,Vacant Land,810000,08/01/19,3,N/A,N/A,N,N/A,Data
1378 N Wolcott Ave APT 1A,,Sold,Condo,370000,09/15/19,2,2,1073,N,270,2007
1539 N Leavitt St #1-S,,Sold,Condo,375000,07/16/19,2,2,No Data,N,158,1891
1333 N Wolcott Ave #3,,Sold,Condo,740000,01/10/19,3,3,2700,Y,175,2004
1307 N Bell Ave,,Sold,Single Family,1357500,07/16/19,5,4,3900,N,N/A,2019
2017 W Evergreen Ave #P-1,,Sold,Single Family,475000,07/29/18,,--,,N,N/A,1997
1410 North Hoyne #2A,,Sold,Condo,425000,05/21/18,2,2,,N,153,1992
1313 N Wood St #2,,Sold,Condo,785000,07/30/20,3,2,No Data,N,400,1894
1721 W North Ave,,Sold,Condo,762000,07/24/18,3,2,,N,N/A,2007
2017 W Evergreen Ave #P-5,,Sold,Single Family,550000,05/20/20,,--,,N,N/A,1997
1259 N Wood St APT 202,,Sold,Condo,420000,12/05/18,2,1.,,N,324,1909
1236 N Wood St,,Sold,Multiple Occupancy,880000,03/03/19,7,4,No Data,Y,N/A,1996
2039 W Crystal St #3,,Sold,Condo,565000,06/17/18,3,3,1600,N,179,1998
1500 N Paulina St,,Sold,Single Family,1295000,07/31/19,5,5,3444,Y,N/A,1998
1542 N Wood St APT 2R,,Sold,Condo,470000,05/31/18,2,3,No Data,N,125,Data
1850 W Division St APT 3A,,Sold,Single Family,485000,06/12/18,2,2,,N,30,2001
2038 W Pierce Ave APT 3E,,Sold,Condo,3200,07/13/18,3,2,,Y,N/A,1998
1212 N Hoyne Ave #P8,,Sold,Single Family,443000,08/15/19,,--,,N,N/A,2001
1725 W Le Moyne St #1,,Sold,Condo,635000,08/02/20,3,3,2000,Y,225,2009
1919 W Crystal St APT 201,,Sold,Condo,665000,08/12/20,2,2,,Y,328,2009
1613 W Beach Ave #1E,,Sold,Condo,690000,03/26/20,3,3,No Data,Y,200,2019
1613 W Beach Ave #2W,,Sold,Condo,860000,06/25/20,3,4,No Data,Y,200,2019
1429 N Paulina St APT C,,Sold,Condo,520000,12/19/18,3,3,No Data,N,180,1998
2351 W North Ave,,Sold,Vacant Land,810000,08/01/19,3,N/A,N/A,N,N/A,Data
1919 W Potomac Ave,,Sold,Single Family,800000,06/30/19,4,3,2976,N,N/A,1889
1612 W Pierce Ave #B,,Sold,Townhouse,638000,04/30/20,2,4,2100,Y,1350,2001
1612 W Pierce Ave #C,,Sold,Condo,735000,01/12/20,2,3.,,Y,390,1999
None,,,Single Family,N/A,",086,588",2,3,3186,N,N/A,1888
1705 W Le Moyne St APT F,,Sold,Condo,520000,06/25/18,2,2.,,Y,N/A,1995
1340 N Oakley Blvd,,Sold,Multiple Occupancy,600000,07/30/20,5,--,,Y,N/A,1890
1332 N Bell Ave,,Sold,Single Family,759000,12/30/19,4,4,2350,Y,N/A,1994
1927 W Potomac Ave APT 2W,,Sold,Condo,459000,07/12/18,2,2,No Data,N,147,2008
1535 N Paulina St APT 2,,Sold,Multiple Occupancy,2200,11/30/18,3,--,,Y,N/A,1890
1238 N Hoyne Ave #2,,Sold,Condo,677500,07/04/18,,--,,N,N/A,Data
1534 N Wood St #3,,Sold,Condo,670000,09/05/18,3,3,1700,N,170,2008
1219 N Paulina St #2S,,Sold,Condo,492500,06/28/18,2,2,,N,304,2004
1344 N Leavitt St,,Sold,Single Family,1037500,03/03/20,4,4,4600,Y,N/A,2000
None,,,Multiple Occupancy,N/A,N/A,2,2,,Contact manager,N/A,tral
2114 W North Ave APT 3E,,Sold,Condo,275000,07/06/20,2,1,No Data,N,240,Data
1910 W Armitage Ave #1W,,Sold,Condo,555000,09/03/20,3,3,No Data,Y,211,2002
2150 W North Ave APT 8,,Sold,Condo,420000,06/23/20,,--,,N,324,1901
2342 W Bloomingdale Ave APT 401,,Sold,Condo,445000,07/14/20,2,2,1450,N,283,2001
2351 N Seeley Ave APT 3B,,Sold,Condo,2750,09/22/19,3,2,,Y,N/A,2018
1724 N Winnebago Ave APT M,,Sold,Townhouse,410000,03/16/20,2,2,1193,Y,716,1995
2333 W Saint Paul Ave SUITE 1,,Sold,Condo,310000,07/28/20,,--,,N,278,1917
2342 W Montana St #1W,,Sold,Condo,450000,12/08/19,3,3,1927,N,225,2006
2012 W Saint Paul Ave,,Sold,Condo,371000,05/05/20,1,2,1700,Y,444,1967
1719 N Winnebago Ave,,Sold,Townhouse,765000,07/28/19,3,4,2670,Y,1104,2016
1825 N Winnebago Ave APT 102,,Sold,Condo,420000,12/26/19,2,2,,N,365,2001
2300 W Wabansia Ave APT 212,,Sold,Condo,411000,08/27/20,2,2,2200,Y,465,1906
1735 N Paulina St APT 207,,Sold,Condo,320000,08/08/19,2,1,1100,Y,461,1914
1757 N Paulina St APT C,,Sold,Townhouse,820500,05/20/20,4,4,2400,Y,61,1999
1931 N Damen Ave APT 2N,,Sold,Condo,486000,09/23/20,2,2,1450,Y,250,2000
1907 N Milwaukee Ave #G-9,,Sold,Condo,365000,04/12/20,,--,,N,232,1904
1652 N Milwaukee Ave #P7,,Sold,Single Family,515000,09/04/19,,--,,N,25,1999
2152 W Concord Pl APT 3,,Sold,Apartment,3100,08/14/20,3,2,1500,Y,N/A,1888
2330 N Hamilton Ave #3,,Sold,Condo,395000,07/28/20,2,2,No Data,Y,178,2008
1752 W Wabansia Ave,,Sold,Single Family,1185000,08/06/20,4,4,3300,Y,N/A,2003
1927 N Oakley Ave,,Sold,Single Family,1450000,05/03/20,5,5,4400,Y,N/A,2006
2029 W Churchill St,,Sold,Single Family,1100000,09/02/19,3,2.,,Y,N/A,2001
1611 N Hermitage #204,,Sold,Condo,740000,01/06/20,3,2,1900,N,N/A,2015
None,,,Single Family,N/A,",849,236",6,5,6139,Y,N/A,2011
2125 W Webster Ave,,Sold,Single Family,1600000,12/16/19,5,7,5045,N,N/A,2019
1740 N Marshfield Ave #C-25,,Sold,Condo,420000,11/21/19,2,1.,,Y,410,1993
1825 W Wabansia Ave,,Sold,Single Family,1800000,10/01/19,3,5,4000,Y,N/A,1891
2300 W Wabansia Ave #P-10,,Sold,Single Family,412000,10/24/19,,--,,N,115,1917
1955 N Leavitt St APT 4D,,Sold,Condo,514000,08/20/20,2,2,1325,Y,289,1999
2050 W Willow St #D,,Sold,Townhouse,750000,06/02/20,3,3,1524,Y,542,1999
1835 N Hermitage Ave,,Sold,Multiple Occupancy,910000,04/23/20,8,6,No Data,Y,N/A,1900
1918 W Armitage Ave APT 2B,,Sold,Condo,475000,04/26/20,2,2,No Data,Y,120,2013
2212 N Seeley Ave #1,,Sold,Condo,495000,11/21/19,3,3,2235,N,300,2001
2062 N Hoyne Ave,,Sold,Single Family,1800000,01/15/20,4,5,4781,N,N/A,1875
2312 W Mclean Ave APT 3S,,Sold,Condo,482000,12/09/19,3,3,2000,N,304,1911
2136 W Armitage Ave APT 1W,,Sold,Condo,485000,03/04/20,3,3,1800,Y,275,2007
1940 N Hoyne Ave,,Sold,Multiple Occupancy,810000,06/16/20,3,3,No Data,Y,N/A,1902
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2333 W Saint Paul Ave #P64,,Sold,Single Family,340000,02/26/20,,--,,N,135,1917
1620 N Oakley Ave #2,,Sold,Condo,390000,11/06/19,2,2,1250,Y,109,1998
2221 N Lister Ave APT 3A,,Sold,Condo,435000,08/27/20,2,2,1405,Y,429,1918
2300 W Wabansia Ave APT 111,,Sold,Condo,410000,07/31/19,2,2,1040,Y,426,1906
2207 N Western Ave APT 3B,,Sold,Condo,515000,06/09/20,3,2,1600,Y,350,2005
1722 W Wabansia Ave,,Sold,Multiple Occupancy,1050000,11/21/19,7,4,No Data,N,N/A,Data
2210 W Wabansia Ave #P-30,,Sold,Single Family,325000,08/11/19,,--,,N,30,1996
1915 N Damen Ave APT D,,Sold,Condo,555000,12/04/19,2,2,2700,Y,290,2007
1872 N Damen Ave,,Sold,Condo,810000,12/22/19,3,3,2000,N,409,2000
2234 W Lyndale St,,Sold,Single Family,1052500,12/30/19,4,5,3000,Y,N/A,1887
2012 W Mclean Ave,,Sold,Single Family,860000,08/11/20,4,4,2600,Y,N/A,1996
2008 W Willow St APT F,,Sold,Townhouse,715000,07/29/20,3,3,2400,Y,657,1995
2033 N Damen Ave APT 3N,,Sold,Condo,550000,07/30/20,3,2,1600,Y,318,2006
1740 W North Ave,,Sold,Apartment,725000,09/16/19,2,1,,N,N/A,1885
1830 N Winchester Ave APT 206,,Sold,Condo,499000,09/10/20,2,2,No Data,Y,339,1996
1940 N Wilmot Ave FLOOR 2,,Sold,Single Family,1220000,08/14/19,4,4,3800,Y,N/A,2003
2150 W Dickens Ave #2,,Sold,Condo,338000,04/30/20,1,2,1000,Y,135,1918
2141 W Churchill St,,Sold,Townhouse,840000,12/01/19,3,5,2350,Y,1367,2001
None,,,Apartment,N/A,"$323,150",2,1,,N,278,1920
2020 W Willow St #B,,Sold,Townhouse,715000,09/04/19,3,3,1704,Y,654,1998
2029 W Churchill St,,Sold,Single Family,1100000,08/27/19,5,4,4000,Y,N/A,2001
1728 N Damen Ave #1-311,,Sold,Condo,375000,08/04/19,,--,,N,345,1969
1670 N Claremont Ave APT 308,,Sold,Condo,396000,12/19/19,2,2,No Data,N,349,1909
1639 N Oakley Ave #1,,Sold,Condo,535000,09/11/19,3,3,No Data,N,253,2000
1740 N Winchester Ave,,Sold,Single Family,2125000,04/26/20,5,5,5000,Y,N/A,2014
2033 W Cortland St,,Sold,Single Family,1300000,12/22/19,4,4,3300,Y,N/A,2014
2223 W Lyndale St APT 1,,Sold,Single Family,1575000,01/07/20,4,3.,,Y,N/A,2019
1945 W Cortland St,,Sold,Single Family,2177500,12/01/19,5,4,4570,Y,N/A,2012
1728 N Damen Ave #108,,Sold,Condo,459000,11/20/19,2,2,1800,Y,596,1994
1825 N Winnebago Ave #5,,Sold,Condo,495000,07/15/20,,--,,N,365,2001
1735 N Paulina St #P-10,,Sold,Single Family,320000,08/15/19,,--,,N,90,1910
2240 N Hamilton Ave,,Sold,Single Family,669000,08/25/20,4,4,2015,Y,N/A,1992
1721 N Western Ave APT 4,,Sold,Condo,447000,06/08/20,3,2,1400,Y,275,2008
2136 W Moffat St,,Sold,Single Family,1434000,08/25/20,3,3,2520,Y,N/A,1979
2210 W Wabansia Ave APT 404,,Sold,Condo,325000,08/11/19,1,1,No Data,Y,192,1996
2215 W Mclean Ave,,Sold,Single Family,2850000,02/05/20,5,4,5800,Y,N/A,2009
1847 W Armitage Ave,,Sold,Multiple Occupancy,1120000,07/30/19,9,6,No Data,N,N/A,Data
2207 N Western Ave APT 3C,,Sold,Condo,470000,11/20/19,3,2,1550,Y,367,2005
1908 W Cortland St,,Sold,Single Family,1190000,09/30/19,4,5,4200,Y,N/A,2004
2158 N Damen Ave #4,,Sold,Condo,535000,10/23/19,3,3,1650,Y,128,2004
1708 W North Ave UNIT C4,,Sold,Condo,400000,10/14/19,2,2,No Data,N,339,2000
2221 N Lister Ave APT 2E,,Sold,Condo,319500,10/21/19,1,1,1200,Y,357,1999
1810 W Armitage Ave #2E,,Sold,Condo,410000,08/18/20,2,2,1240,Y,150,1999
2160 N Oakley Ave #1,,Sold,Condo,300000,03/14/19,2,1,No Data,Y,211,Data
1735 N Paulina St #P-71,,Sold,Single Family,375000,09/05/19,,--,,N,90,1910
1865 N Hoyne Ave #1,,Sold,Single Family,1270000,11/19/19,4,3.,,Y,N/A,2010
1927 N Milwaukee Ave APT 501,,Sold,Condo,336500,03/05/20,,--,,N,285,1925
2247 N Oakley Ave #1,,Sold,Condo,620000,09/07/20,3,3,2500,Y,225,2001
1900 W Armitage Ave #1,,Sold,Condo,710000,08/30/20,3,3,No Data,Y,200,2013
2012 W Willow St APT A,,Sold,Townhouse,806500,04/07/20,3,3,2048,Y,749,1998
2012 W Saint Paul Ave,,Sold,Condo,338000,11/12/19,,--,,N,228,1969
2015 W Armitage Ave #3,,Sold,Condo,845000,08/05/19,,--,,N,N/A,Data
1861 N Hoyne Ave #1R,,Sold,Apartment,240000,11/12/19,2,1,,N,125,1895
2241 W Wabansia Ave APT 101,,Sold,Condo,545000,08/20/19,2,2,1500,Y,381,2005
2300 W Wabansia Ave APT 317,,Sold,Condo,502500,09/07/20,2,2,1500,Y,547,1919
2247 W Wabansia Ave APT 304,,Sold,Condo,515000,08/24/20,2,2,1500,Y,385,2007
2043 W Saint Paul Ave,,Sold,Single Family,840000,06/18/20,4,5,3650,Y,N/A,2001
2223 W Wabansia Ave #1E,,Sold,Condo,717500,09/03/19,3,3,2407,N,326,2012
1835 N Milwaukee Ave APT 202,,Sold,Condo,460000,11/21/19,2,2,1400,N,298,2005
2353 W Belden Ave APT 3N,,Sold,Condo,469000,10/08/19,,--,,N,N/A,Data
None,,,Condo,N/A,"$366,998",2,2,1050,Y,435,1906
2300 W Wabansia Ave #P-6,,Sold,Single Family,415000,12/25/19,,--,,N,115,1917
2312 W North Ave #4E,,Sold,Condo,416000,07/21/20,2,2,1425,Y,353,2002
1644 N Claremont Ave #3,,Sold,Condo,620000,08/20/20,3,3,1862,Y,202,2000
None,,,Apartment,N/A,N/A,2,1,,Contact manager,N/A,ther
2241 W Wabansia Ave,,Sold,Condo,490000,05/04/20,,--,,N,558,Data
1623 N Bell Ave,,Sold,Single Family,1250000,02/02/20,5,4,4200,Y,N/A,2006
1740 N Marshfield Ave #D23,,Sold,Condo,447000,12/04/19,2,2,,N,340,1993
1606 W North Ave,,Sold,Condo,422500,08/18/19,3,2,1600,N,241,2008
1735 N Paulina St #P-6,,Sold,Single Family,330000,03/08/20,,--,,N,90,1910
2333 W Saint Paul Ave #P39,,Sold,Single Family,489000,06/01/20,,--,,N,135,1917
2163 N Oakley Ave,,Sold,Single Family,2500000,02/04/20,6,5,5963,Y,N/A,2014
None,,,Single Family,N/A,",709,935",5,4,4261,Y,N/A,2017
2046 W Churchill St,,Sold,Single Family,1300000,07/29/20,4,4,4000,Y,N/A,2006
2302 N Hoyne Ave #3,,Sold,Condo,535000,08/15/19,2,2,1459,N,225,2018
2128 N Oakley Ave APT 1,,Sold,Condo,317000,04/16/20,2,1,1200,N,294,1926
1767 N Hoyne Ave #L,,Sold,Townhouse,746000,04/14/20,3,3,2027,Y,821,1998
2123 W Moffat St,,Sold,Single Family,1189000,09/07/20,4,3.,2088,Y,N/A,1999
2225 W Wabansia Ave APT 303,,Sold,Condo,440000,09/08/20,2,2,1200,Y,287,1978
1702 W Wabansia Ave,,Sold,Single Family,905000,09/15/20,3,4,1359,Y,N/A,1990
2320 W Saint Paul Ave APT 401A,,Sold,Apartment,435000,06/14/20,2,2,,N,N/A,Data
1654 W Cortland St #5,,Sold,Apartment,2100,03/06/20,2,1,,Y,N/A,Data
